,State,Region,University
0,Alabama,Auburn,Auburn University
1,Alabama,Florence,University of North Alabama
2,Alabama,Jacksonville,Jacksonville State University
3,Alabama,Livingston,University of West Alabama
4,Alabama,Montevallo,University of Montevallo
5,Alabama,Troy,Troy University
6,Alabama,Tuscaloosa,"University of Alabama, Stillman College, Shelton State"
7,Alabama,Tuskegee,Tuskegee University
8,Alaska,Fairbanks,University of Alaska Fairbanks
9,Arizona,Flagstaff,Northern Arizona University
10,Arizona,Tempe,Arizona State University
11,Arizona,Tucson,University of Arizona
12,Arkansas,Arkadelphia,"Henderson State University, Ouachita Baptist University"
13,Arkansas,Conway,"Central Baptist College, Hendrix College, University of Central Arkansas"
14,Arkansas,Fayetteville,University of Arkansas
15,Arkansas,Jonesboro,Arkansas State University
16,Arkansas,Magnolia,Southern Arkansas University
17,Arkansas,Monticello,University of Arkansas at Monticello
18,Arkansas,Russellville,Arkansas Tech University
19,Arkansas,Searcy,Harding University
20,California,Angwin,Pacific Union College
21,California,Arcata,Humboldt State University
22,California,Berkeley,"University of California, Berkeley"
23,California,Chico,"California State University, Chico"
24,California,Claremont,"Claremont McKenna College, Pomona College, Harvey Mudd College, Scripps College, Pitzer College, Keck Graduate Institute, Claremont Graduate University"
25,California,Cotati,"California State University, Sonoma"
26,California,Davis,"University of California, Davis"
27,California,Irvine,"University of California, Irvine"
28,California,Isla Vista,"University of California, Santa Barbara"
29,California,"University Park, Los Angeles",University of Southern California
30,California,Merced,"University of California, Merced"
31,California,Orange,Chapman University
32,California,Palo Alto,Stanford University
33,California,Pomona,"Cal Poly Pomona, WesternU"
34,California,Redlands,University of Redlands
35,California,Riverside,"University of California, Riverside, California Baptist University, La Sierra University"
36,California,Sacramento,"California State University, Sacramento"
37,California,"University District, San Bernardino","California State University, San Bernardino, American Sports University"
38,California,San Diego,"University of California, San Diego, San Diego State University"
39,California,San Luis Obispo,California Polytechnic State University
40,California,Santa Barbara,"Fielding Graduate University, Santa Barbara City College, University of California, Santa Barbara, Westmont College"
41,California,Santa Cruz,"University of California, Santa Cruz"
42,California,Turlock,"California State University, Stanislaus"
43,California,"Westwood, Los Angeles","University of California, Los Angeles"
44,California,Whittier,Whittier CollegeRio Hondo College
45,Colorado,Alamosa,Adams State College
46,Colorado,Boulder,University of Colorado at Boulder
47,Colorado,Durango,Fort Lewis College
48,Colorado,Fort Collins,Colorado State University
49,Colorado,Golden,Colorado School of Mines
50,Colorado,Grand Junction,Colorado Mesa University
51,Colorado,Greeley,University of Northern Colorado
52,Colorado,Gunnison,Western State College
53,Colorado,"Pueblo, Colorado",Colorado State University-Pueblo
54,Connecticut,Fairfield,"Fairfield University, Sacred Heart University"
55,Connecticut,Middletown,Wesleyan University
56,Connecticut,New Britain,Central Connecticut State University
