,budget,genres,keywords,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,tagline,title,vote_count,Profit
0,237000000,Action   Adventure   Fantasy   Science Fiction,culture clash   future   space war   space colony   society   space travel   futuristic   romance   space   alien   tribe   alien planet   cgi   marine   soldier   battle   love affair   anti war   power relations   mind and soul   d,en,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,Ingenious Film Partners   Twentieth Century Fox Film Corporation   Dune Entertainment   Lightstorm Entertainment,US  United States of America  GB  United Kingdom,2009-12-10,2787965087,162.0,Enter the World of Pandora.,Avatar,11800,2550965087
1,300000000,Adventure   Fantasy   Action,ocean   drug abuse   exotic island   east india trading company   love of one s life   traitor   shipwreck   strong woman   ship   alliance   calypso   afterlife   fighter   pirate   swashbuckler   aftercreditsstinger,en,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",139.082615,Walt Disney Pictures   Jerry Bruckheimer Films   Second Mate Productions,US  United States of America,2007-05-19,961000000,169.0,"At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,4500,661000000
2,245000000,Action   Adventure   Crime,spy   based on novel   secret agent   sequel   mi   british secret service   united kingdom,en,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",107.376788,Columbia Pictures   Danjaq   B,GB  United Kingdom  US  United States of America,2015-10-26,880674609,148.0,A Plan No One Escapes,Spectre,4466,635674609
3,250000000,Action   Crime   Drama   Thriller,dc comics   crime fighter   terrorist   secret entity   burglar   hostage drama   time bomb   gotham city   vigilante   cover up   superhero   villainess   tragic hero   terrorism   destruction   catwoman   cat burglar   imax   flood   criminal underworld   batman,en,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",112.31295,Legendary Pictures   Warner Bros   DC Entertainment   Syncopy,US  United States of America,2012-07-16,1084939099,165.0,The Legend Ends,The Dark Knight Rises,9106,834939099
4,260000000,Action   Adventure   Science Fiction,based on novel   mars   medallion   space travel   princess   alien   steampunk   martian   escape   edgar rice burroughs   alien race   superhuman strength   mars civilization   sword and planet   th century   d,en,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",43.926995,Walt Disney Pictures,US  United States of America,2012-03-07,284139100,132.0,"Lost in our world, found in another.",John Carter,2124,24139100
5,258000000,Fantasy   Action   Adventure,dual entity   amnesia   sandstorm   love of one s life   forgiveness   sper   wretch   death of a friend   egomania   sand   narcism   hostility   marvel comic   sequel   superhero   revenge,en,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",115.699814,Columbia Pictures   Laura Ziskin Productions   Marvel Enterprises,US  United States of America,2007-05-01,890871626,139.0,The battle within.,Spider-Man 3,3576,632871626
6,260000000,Animation   Family,hostage   magic   horse   fairy tale   musical   princess   animation   tower   blonde woman   selfishness   healing power   based on fairy tale   duringcreditsstinger   healing gift   animal sekick,en,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",48.681969,Walt Disney Pictures   Walt Disney Animation Studios,US  United States of America,2010-11-24,591794936,100.0,They're taking adventure to new lengths.,Tangled,3330,331794936
7,280000000,Action   Adventure   Science Fiction,marvel comic   sequel   superhero   based on comic book   vision   superhero team   duringcreditsstinger   marvel cinematic universe   d,en,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",134.279229,Marvel Studios   Prime Focus   Revolution Sun Studios,US  United States of America,2015-04-22,1405403694,141.0,A New Age Has Come.,Avengers: Age of Ultron,6767,1125403694
8,250000000,Adventure   Fantasy   Family,witch   magic   broom   school of witchcraft   wizardry   apparition   teenage crush   werewolf,en,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",98.885637,Warner Bros   Heyday Films,GB  United Kingdom  US  United States of America,2009-07-07,933959197,153.0,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,5293,683959197
9,250000000,Action   Adventure   Fantasy,dc comics   vigilante   superhero   based on comic book   revenge   super powers   clark kent   bruce wayne   dc extended universe,en,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",155.790452,DC Comics   Atlas Entertainment   Warner Bros   DC Entertainment   Cruel Unusual Films   RatPac Dune Entertainment,US  United States of America,2016-03-23,873260194,151.0,Justice or revenge,Batman v Superman: Dawn of Justice,7004,623260194
10,270000000,Adventure   Fantasy   Action   Science Fiction,saving the world   dc comics   invulnerability   sequel   superhero   based on comic book   kryptonite   super powers   superhuman strength   lex luthor,en,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",57.925623,DC Comics   Legendary Pictures   Warner Bros   Bad Hat Harry Productions,US  United States of America,2006-06-28,391081192,154.0,No Tagline,Superman Returns,1400,121081192
11,200000000,Adventure   Action   Thriller   Crime,killing   undercover   secret agent   british secret service,en,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",107.928811,Eon Productions,GB  United Kingdom  US  United States of America,2008-10-30,586090727,106.0,"For love, for hate, for justice, for revenge.",Quantum of Solace,2965,386090727
12,200000000,Adventure   Fantasy   Action,witch   fortune teller   bondage   exotic island   monster   captain   card game   east india trading company   compass   ship   daughter   pirate   swashbuckler   aftercreditsstinger,en,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,Walt Disney Pictures   Jerry Bruckheimer Films   Second Mate Productions,JM  Jamaica  US  United States of America  BS  Bahamas  DM  Dominica,2006-06-20,1065659812,151.0,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,5246,865659812
13,255000000,Action   Adventure   Western,texas   horse   survivor   texas ranger   partner   outlaw   escape   lawyer   train   lone ranger   comanche   the lone ranger   tonto,en,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",49.046956,Walt Disney Pictures   Jerry Bruckheimer Films   Infinitum Nihil   Silver Bullet Productions II   Blind Wink Productions   Classic Media,US  United States of America,2013-07-03,89289910,149.0,Never Take Off the Mask,The Lone Ranger,2311,-165710090
14,225000000,Action   Adventure   Fantasy   Science Fiction,saving the world   dc comics   superhero   based on comic book   superhuman   alien invasion   reboot   super powers   dc extended universe,en,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",99.398009,Legendary Pictures   Warner Bros   DC Entertainment   Syncopy   Cruel and Unusual Films,GB  United Kingdom  US  United States of America,2013-06-12,662845518,143.0,You will believe that a man can fly.,Man of Steel,6359,437845518
15,225000000,Adventure   Family   Fantasy,based on novel   fictional place   brother sister relationship   lion   human being   wretch   leap in time   matter of life and death   faith   uncle   narnia   fantasy world,en,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",53.978602,Walt Disney   Walden Media   Stillking Films   Ozumi Films   Propeler   Silverbell Films   Revolution Sun Studios,CZ  Czech Republic  PL  Poland  SI  Slovenia  US  United States of America,2008-05-15,419651413,150.0,Hope has a new face.,The Chronicles of Narnia: Prince Caspian,1630,194651413
16,220000000,Science Fiction   Action   Adventure,new york   shield   marvel comic   superhero   based on comic book   alien invasion   superhero team   aftercreditsstinger   duringcreditsstinger   marvel cinematic universe,en,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",144.448633,Paramount Pictures   Marvel Studios,US  United States of America,2012-04-25,1519557910,143.0,Some assembly required.,The Avengers,11776,1299557910
17,380000000,Adventure   Action   Fantasy,sea   captain   mutiny   sword   prime minister   sailing   silver   ship   duke   merma   pirate   soldier   battle   swashbuckler   aftercreditsstinger   d,en,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",135.413856,Walt Disney Pictures   Jerry Bruckheimer Films   Moving Picture Company MPC,US  United States of America,2011-05-14,1045713802,136.0,Live Forever Or Die Trying.,Pirates of the Caribbean: On Stranger Tides,4948,665713802
18,225000000,Action   Comedy   Science Fiction,time travel   time machine   alien   fictional government agency   seeing the future   changing history,en,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",52.035179,Amblin Entertainment   Media Magik Entertainment   Imagenation Abu Dhabi FZ   Hemisphere Media Capital   Parkes MacDonald Productions,US  United States of America,2012-05-23,624026776,106.0,They are back... in time.,Men in Black 3,4160,399026776
19,250000000,Action   Adventure   Fantasy,corruption   elves   dwarves   orcs   mdle earth tolkien   hobbit   dragon   battle   unlikely friendship   epic battle   sword and sorcery,en,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",120.965743,WingNut Films   New Line Cinema   Warner Bros Pictures   Foot   Metro Goldwyn Mayer MGM,NZ  New Zealand  US  United States of America,2014-12-10,956019788,144.0,Witness the defining chapter of the Middle-Earth saga,The Hobbit: The Battle of the Five Armies,4760,706019788
20,215000000,Action   Adventure   Fantasy,loss of father   vigilante   serum   marvel comic   scientific experiment   sper bite   masked vigilante   reboot   super powers   genetic engineering   social outcast   duringcreditsstinger,en,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",89.866276,Columbia Pictures   Laura Ziskin Productions   Marvel Entertainment,US  United States of America,2012-06-27,752215857,136.0,The untold story begins.,The Amazing Spider-Man,6586,537215857
21,200000000,Action   Adventure,robin hood   archer   knight   sherwood forest   bow and arrow   mdle ages   medieval   king of england,en,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",37.668301,Imagine Entertainment   Universal Pictures   Scott Free Productions   Relativity Media,GB  United Kingdom  US  United States of America,2010-05-12,310669540,140.0,"Rise and rise again, until lambs become lions.",Robin Hood,1398,110669540
22,250000000,Adventure   Fantasy,elves   dwarves   orcs   hobbit   dragon   wizard   sword and sorcery,en,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",94.370564,WingNut Films   New Line Cinema   Warner Bros Pictures   Metro Goldwyn Mayer MGM,NZ  New Zealand  US  United States of America,2013-12-11,958400000,161.0,Beyond darkness... beyond desolation... lies the greatest danger of all.,The Hobbit: The Desolation of Smaug,4524,708400000
23,180000000,Adventure   Fantasy,england   compass   experiment   lordship   uncle   polar bear   orphan   animal   based on young adult novel,en,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",42.990906,New Line Cinema   Ingenious Film Partners   Depth of Field   Scholastic Productions,GB  United Kingdom  US  United States of America,2007-12-04,372234864,113.0,There are worlds beyond our own - the compass will show the way.,The Golden Compass,1303,192234864
24,207000000,Adventure   Drama   Action,film business   screenplay   show business   film making   film producer   exotic island   monster   indigenous   ship   dinosaur,en,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",61.22601,WingNut Films   Universal Pictures   Big Primate Pictures   MFPV Film,NZ  New Zealand  US  United States of America  DE  Germany,2005-12-14,550000000,187.0,The eighth wonder of the world.,King Kong,2337,343000000
25,200000000,Drama   Romance   Thriller,shipwreck   iceberg   ship   panic   titanic   ocean liner   epic   rich woman poor man   love   disaster   tragic love   class differences   imax   star crossed lovers   steerage   salvage   rich snob   d   s,en,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",100.025899,Paramount Pictures   Twentieth Century Fox Film Corporation   Lightstorm Entertainment,US  United States of America,1997-11-18,1845034188,194.0,Nothing on Earth could come between them.,Titanic,7562,1645034188
26,250000000,Adventure   Action   Science Fiction,civil war   war   marvel comic   sequel   superhero   based on comic book   imax   aftercreditsstinger   duringcreditsstinger   marvel cinematic universe   d,en,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",198.372395,Studio Babelsberg   Marvel Studios   Walt Disney Studios Motion Pictures   Vita Ray Dutch Productions III   Deluxe Digital Studios,US  United States of America,2016-04-27,1153304495,147.0,Divided We Fall,Captain America: Civil War,7241,903304495
